Speaker1,Speaker2
so what do you think ?,i m strangely comfortable with it .
well no rest for the wicked henry .,no indeed .
why d you see him so regular ?,once a week ?
ready for number three ?,let s go .
what about them ?,do me a favor keep sending them .
what what are you doing here ?,you forgot your keys !
that ll be thirty eight cents .,you in a big hurry boy ?
we start from scratch ,yeah 
tell me right off if you see him .,yup .
what kind of drugs ?,cocaine .
so this could be your last night huh ?,could be i guess .
yes .,just the paper .
dad .,i just asked his name .
i m gonna quit .,what ? ! ?
you re welcome to join our club .,did you hear what i just said ? !
oh lord !,that fool . that damn fool .
so what you left her there .,i shot her .
take something off .,off me or off you ?
kathy price .,we find that your subscription lapsed . . .
seven it is .,i ll think about it .
that s where he fell .,you get much of that in here ?
hi mom .,hi wendy .
 you appreciate my writing .,yes .
ah ! i thought you were a mailman .,i am .
how long have you worked for the agency ?,me ? four years .
what s happening ?,i m taking you to the hospital .
pull on your works . your privates .,oh jackin off ?
what kind of plane are you flying ?,a b liberator .
i m sorry sis for leaving you guys ,no i m sorry for pushing you out .
yawp !,louder !
you told junior that we did it .,it ?
what is it you need me to do ?,helen i want you to be my wife .
help you clean up ?,absolutely .
yeah . fuck it dil .,fucking men col 
great .,thank you mr . harris .
money . follow the money .,sir ?
they look pretty docile .,yes but don t take any chances .
miller . . .,what is it starck ?
yeah i went on a date last week .,how d it go ?
that s not ,you interested in a little work ?
stevens !,well stone have you got the money ?
what s he smoking ?,what do you think ?
talley .,it s me chief . can you talk ?
whatever it is it could save you .,that s just it it would ruin me !
peter ,what ?
i have master shakespeare .,but the plague
braces .,braces ?
fine .,anyone special ? you know . . .
get me a plane !,i ll pick you up in . . .
everybody loves trout .,i m serious .
is smoking fun ?,oh i suppose so .
he still does .,i hate em .
it s been delightful meeting you both .,and you will come to hear us tonight ?
say it again .,thank you .
where are they ?,sit down !
i m her husband .,husband . . . ?
i told you . we met yesterday .,in a bird shop .
hi princess .,mom ?
sometimes kill the crew other times torture them .,i m sorry .
i couldn t help but notice you pain .,my pain ?
we re being hailed .,on screen .
smart girl .,smart ? she ll be arrested !
tuesday .,tuesday is ladies night .
it s about the leopard .,you re worrying about its killing someone else ?
what ?,drinking alone .
so you better leave .,his name wouldn t be steve would it ?
call me sonny boy .,sonny boy one word ?
you see ?,yeah no i see 
 . . .why ?, . . .you the press office ?
who s this ?,my wife .
when will that be ?,when you are ready .
a woman .,if you want .
why ?,because that s where the fire is ?
that s what i think .,i don t like to fight .
he didn t u give u me , otherwise we may have to 
yeah .,this is bryant . are you alone ?
suleiman !,keep going or i will !
yes sir . what s that ?,a dressing bag .
a little .,you look good man .
if you wouldn t mind .,thank you .
wait . . . just wait .,it was him .
yes .,how did he look ?
what ?,it was a condition of getting doug out .
get out of the way .,are you crazy ?
his eyes are open .,uh . . . you re under arrest .
hey how you get out of here .,i don t know .
what are you gonna do ?,i m going to kill him .
thank you .,now rex .
 . . .about five years now .,get the fuck outta here .
six .,and how tall are you ?
better ?,yeah .
pull me in !,i m pulling damnit !
magnificent magnificent .,well i appreciate that .
 anyway .,i hope she s all right .
i live there . alone .,someone is sitting in that window .
how are your grades ?,i m third in my class .
hello .,mrs . robinson ?
i said how s it going ?,i didn t hear you .
i plan to . soon .,how soon ?
lisette .,only lisette ?
what am i supposed to do ?,you got any books in there ?
so how long is this trip ?,four days .
why yes . how did you know ?,lucky guess .
cynthia . . .what s going on ?,it s been a very strange day .
i thought they d have stopped by now .,what time is it ?
i m sorry .,what do you want ?
power cells .,they re coming .
you got it all ?,a hundred grand .
wife ?,yeah . come on come on !
would you care for a beverage ? tea ?,i m fine sir .
from what ?,from what ?
no he called late last night .,i uh i m very surprised .
jimmy what are you doing ?,checking out your place .
in the same fashion as chess .,what ?
me and you are gonna have a talk .,sez who ?
it s very good indeed .,how s that ?
but no one knew until after . . .,after i . . .
anything .,promise you won t forget me .
yes .,well then what are you doing here ?
i understand why you did that .,good .
like ?,sharp real nice .
and ?,i ve questioned him .
good man . and is she all right ?,yeah .
later for you pal .,okay . . .
i caught one back there .,caught one ? you mean you got shot ?
you carry a piece ? you need one ?,nah . i suppose not .
right .,i m taking off my mike .
copy .,we ve got a 
nine .,continue .
ah jesus . . .,let s go sonny .
eight fifty .,seven fifty .
awww it still hurts doesn t it ?,see ? he keeps pretending he can talk .
who u are u you people ?,i m an investigator with pro tech security .
yeah ! u lugosi u !,isn t he dead ?
you finished here ?,what ? yeah .
is that mandrake lord merlin ?,it is .
i smiled at him .,watch out for the smile boys .
i know and i m honored . . .,if anything ever happens to me . . .
absolutely not .,toss you for it .
psychology major ?,right .
yes me in person !,so what ?
you ll think me very bold sir .,no tell me .
is he wearing a green cardigan ?,what exactly is a cardigan anyway ?
i do alright .,good !
when did this happen ?,a long time ago .
yesterday . i gave her a thousand dollars .,seen any signs of it bill ?
i need help .,tell me about it .
you sew very badly .,you don t sew at all !
interesting .,isn t it ?
did he say where ?,actually yeah 
i don t know .,what did you want to happen ?
yeah okay . sure norman .,beth 
are you two okay ?,we ve been better .
no not me .,oh you are i know you are .
did i . . . ?,yes .
sighs .,can i go now ?
everyone must leave the hotel now .,why sir ?
i can t tell you that .,will she be angry ?
more ?,no . thanks .
i think about girls a lot .,i asked you about school .
you can t go now .,i have to .
shoulda brought my gun .,what ?
your classmates ?,yes .
is this your first time here ?,yes .
hello . . . send him up .,who s that ?
why won t you answer me ?,cause you know goddamn well who i am .
don t bother me norman .,it s not worth the risk .
sure .,i didn t know that .
sure i guess .,terrific .
you bastards !,what did you do to him ! ?
outside ?,yeah 
no .,just wondering .
do you think i . . .,danny please we don t want to know .
you miss her huh ?,no . i ve got you .
do we have a deal ?,yeah deal . give me the two dollars .
he s in it with willis ?,i guess so .
it s like war of the worlds .,they think it might happen all at once .
hello ? hello ! ginger .,help daddy !
what ?,hello can you hear me now ?
insurance ll cover it .,oh yeah you gotta start making the list .
my names isn t angela . . .,yes i m sorry ellen . . .
who ?,guy i work with .
i m nothing like him .,you may not think so but you are .
don t fool around .,okay .
no !,martini out !
peter sends his regards .,oh ? how s he doing ?
my wife used to call me lenny .,yeah ?
that wasn t in there before .,we must ve had it delivered then .
today s your lucky day sami .,yeah i can see that .
mr . manager .,gregoire what are you doing here ?
suzette will be back here in a minute .,i ll go good bye .
what was the bullet ?,wasn t no bullet .
it hurts .,where ?
it s not that .,what then ?
do i know hans hinkel ?,that s what i asked .
but my mom gave me the map .,i lugged it all over town !
what is it harry ?,just one of norman s many secrets .
beyond the stream . i think i know .,that s miles .
 that s a j . , for james ? 
it s from an ira .,oh shit . . .
what are you doing ?,getting dressed . i ve got to go .
can t .,what do you mean you can t ?
what year is it ?,what year do you think it is ?
yes ?,it s benjamin .
yeah i could ve . should ve .,you wanted to get the truth .
where ?,down . . . there .
yeah .,huh . kids ?
so what happened ?,life knocked me back .
then i have come to the right place .,i guess you have .
wait a minute let me out .,well there s not much time .
he said he traveled for two months .,i took a different route .
a couple of weeks back .,how ?
will you take me home ?,what ?
so i borrowed it till i did know !,that don t make no sense !
sit down and join us cindy .,yeah i always wanted to watch you eat .
please . . . be cool .,may be please have the wallet .
funny ?,something wrong .
waiter busboy maitre de , waiter .
no sir . radar .,it could have been anything .
always .,we go out smash em now ?
if she . . .,if she ?
what ?,why didn t you bring him ?
three hundred .,fine .
you ll know soon enough .,where did you come from ?
she jumped out of the window .,i know . where is he i said .
you may be right .,are you serious ?
what are you talking about ?,we had him .
one inch stuff on a three number combination .,i m good at that .
i couldn t bear for it to end .,and i didn t like that man .
who put up my bond ? ordell ?,in cash .
i want more .,me too .
i m talkin about your potential .,uh huh .
no sir i feel really great .,good .
what about ?,we ll discuss that in the board room .
i had to tell em something .,never say anything unless you have to .
but a good strange .,is it ?
pretty good for a one armed nigger huh ?,great .
despite you .,i never asked for more .
but who were they ?,they were just bad men that s all .
 . . .okay,huh ?
jesus bob .,i didn t do anything .
grant where d you go ?,hey grant .
do it to ourselves ?,we have to stick with the plan .
 . . .to steal my girl .,where is she ?
chris !,all right . all right .
loretta . . .,johnny . . .
 what magic have you brought erik ? ,you ll see !
i know . i m sorry .,sorry my ass .
that would take weeks .,months .
the mission director .,you wish .
would you like to try going ,yes .
 what were they doing there ?,they were for the fucking boat brian .
thanks for picking me up .,no problem .
feeling better ?,yes thanks .
yes .,you haven t seen it .
it s one way .,we re only going one way .
really ?,yeah .
what do you think ?,i think you do .
i didn t hear you come in .,what re you doing ?
on which planet . . . ?,you can t just 
why ?,because it isn t true .
please get the hell out of here .,i know i m your hero .
operator .,i need an exit ! fast !
okay sure . what about ?,its about tonight .
how do you like flying ?,it s wonderful . . . .
ed i m so happy for you .,let s get married .
yeah .,who s got the car keys ?
 bye bye now sweetheart .,goodbye daddy .
what d he give to you ?,nothing .
i have an idea .,and what would that be ?
we re both thinking the same thing right ?,do you know a friendly cop ?
where d you get this ?,i found it outside .
yeah for the fifth time senator washington .,my pigeons i better see about my pigeons .
would you like a drink of water ?,no thank you .
hey wait !,don t bother to call again okay ?
there s something else scary .,what ?
did my work please you ?,how could it not excellency ?
it s s posed to happen biff .,it is ?
what about the porters ?,porters ?
so i hear . is that all ?,no that s not all .
right now ?,yeah . come on .
i don t wanna hurt your feelings .,you don t wanna hurt your back .
what are you doing here ?,i don t think you locked your door .
that s all ?,yes .
what now ?,i doubt that s the end .
thank you .,it s all right .
leave off . .,she was only 
do you have a minute ?,actually i m running late 
what are we going to do ! ?,we re going to keep driving .
recite the lord s prayer .,not unless you hear my confession .
i ll bet he would .,is it ?
yes .,for what he made me go through .
keep talking . . . .,what guards us against canada . . . ?
got a phone in that van ?,sure .
hiya .,i m mr . shelby from .
mom says to clean up the pool .,why can t you do it ?
he must have been great looking right ?,why do you say that ?
only one guys checked in ?,yeah .
london .,london . that s a promotion !
nobody did .,was this during betty ?
wow !,i ll just try the first one .
delivery !,hold on .
oh !,terribly sorry .
thanks .,ok bye .
a bit .,what did she have to say ?
agent hadley .,do you know who this is ?
 you tell them the tale . ,what do you want ? an apology ?
his mother ?,what ?
did you see that ? it s remarkable !,huh ?
just shut up ryan didn t kill wade .,the hell he didn t .
but he didn t ask me .,but he does ! don t you see ?
all right ! what d she say ?,i don t know .
bottle .,you got it .
oh no .,no no . i knew .
is there someone inside you ?,sometimes .
what was that all about ?,he wants me to perform for him .
nothing .,what d he give to you ?
no .,how about california ?
where are you going ?,i m leaving .
of course . food alright ?,great sir . great .
for what ?,for not believing you .
about what ?,about where you re from .
a single hour .,yes .
and this ?,for killing a man .
it s the middle of the night sweetie .,a man scared me .
like my mother .,i see that .
just cut his hair you know .,yeah ?
i would never ,i know .
how old are you ?,i am seventy four years old .
made up your mind yet ?,i ll take chocolate .
marylin .,are you alright ? you lost weight .
i m sorry sir . you okay ?,someone broke into this room .
can i go now ?,grabs pauline by the shoulders .
theodosia .,her family name ?
i can t sing it anymore .,what ?
anyone particular in mind ?,you .
it s not my place .,don t you wonder why i do it ?
doc . . .,lily .
blue .,right . off you go .
that was about a year ago .,well is he ?
right .,well which one ?
maybe . i don t know .,look at a picture for me .
bitch .,bitch .
why ?,you don t have the stomach for it .
well . . . .,well what ?
yes sir church of england sir .,brown hair is it ?
is it okay if i drink this ?,it s okay with me hi kevin .
that s not an answer .,what do you want to know ?
what didn t he tell you ?,didn t who tell me ?
 . . .of anesthesiology ?, methodology and techniques of anesthesiology . yes .
hello ?,it s me . . . johana .
what ?,what ?
i m sorry .,tch . what are you 
what re you doing ?,just until we find another girl .
oh my god . it s coming out .,what ?
ma am ?,yes ?
are you threatening me ?,sort of . . . yeah .
you son of a bitch .,don t make me pull rank ripley .
do you want more rice ?,maybe later .
is that true ?,yeah it is .
i ve missed you guys .,why ?
south central .,how long you figure ?
report !,we ve lost bridge control !
easy .,that ain t much of a name .
you re playing your good side .,don t be ridiculous .
uh huh .,i didn t expect you back so soon .
what would you do for me ?,anything .
oh yes .,she used to be so friendly .
i love those doors .,where will you live ?
come on .,no 
what are you doing ?,what are you doing ?
three days .,to . . .you know .
you loved him ?,i m very cold .
i think i can lick it .,how ?
 who killed her ? you ? , no ! 
where s bill ?,sleeping .
do you have any children ?,no .
guess .,how should i know ?
what ,just do it ! !
they re hacking his mind .,how ?
dorothy vallens ?,yes .
are you all right ?,this is a brutal land .
can all of you work ?,why i guess so .
you really are a beautiful woman .,it s not just inner beauty is it ?
who done it then ?,huh ?
you keep it , u me u !
i m not asking .,well you re not getting either .
there .,must be billy s girl .
you just fucked a total stranger ?,shut the fuck up !
did you finish thinking ?,i think better when i drive .
i think what you did was . . .,what ?
bruce look ! dad got some german jam .,we thought it was poison .
dear christ . . .,we have to get off this ship ! !
no .,lie down on the bed .
you don t have a choice .,mom . . .please .
nope .,how did you find me ?
you bet the ponies ?,me ? no . not really .
you do repeatedly .,do i snore ?
nothin honey . mama s just actin strange .,you ain t actin mama .
no i m here . where are you ?,where are you hoo ?
what are you doing in my room ?,i didn t go in your room .
great bye .,bye .
i m listening .,good . i want you to listen .
we stood here once before .,i know teresa 
in my bed .,your bed ?
it s possible,hang in there .
what ?,he plays it all the time .
can i get you a drink ?,yeah plain scotch .
the guy who bought you that ring .,well he can just fuck himself .
okay okay ! okay .,you got an idea ?
ringo !,wake up !
dinner . . . and what else ?,just dinner .
tell him that .,i don t know how .
you meant it .,what makes you say that ?
does she wear glasses ?,no .
how d you know where i was ?,nathan told my brother .
get your gear on .,what for ?
you stole it ?,i borrowed it .
what about you ?,i m going after dad .
speak english ?,english ?
promise ?,i promise .
you make a mistake ?,yeah . my whole life .
 a u lot u .,heather .
better let me .,where d you get the gun ?
a star is . . ., . . . digitized .
not at all .,i just though you were awful cute .
what are you doing here ?,screaming
are you serious with this ?,yes . sorry .
who re these guys ?,where is he ?
uh huh .,you don t still think it was me ?
forward motion captain . . . !,a tractor beam . . .
you d say if you mind ?,no i like him .
no . . . .the asylum !,oh yeah what s my connection to that ?
and my permission ?,i d like yours too .
what ? !,wanna be a part of history ?
that s alright .,the deal still stands our other thing .
so cole you been practicing your game ?,sure have . . .
it s six thirty . . .,so .
yeah . i was in nam .,so was i .
what ?,no stay back ! stay back !
think we can fit up in there ?,only one way to find out .
no . but once i heard . . .,what ?
i forgive you .,me ?
don t let me fall !,do it goddammit !
where will you go now ?,it will end tonight .
i never met anyone from seattle before .,you re not missing much .
it s on the table .,no it s not .
is that what i said ?,what did he say ?
george could you excuse us for a minute ?,sure .
no ! we re almost through !,don t be insane stop ! full stop !
what s wrong available ?,please . . . no .
i was just asking . no disrespect intended .,fine . let s drop it .
i burnt them .,why ?
maybe we should give him some water .,all last night he could have been 
normal .,aren t you ever going to get married ?
grusinskaya ,yes .
was this him ?,um . . . he was older .
keep it dry . no swimming .,thank you .
there s nothing harder .,snuff ?
do you know that it s illegal ?,yes i do .
he was . he died .,vietnam ?
no sweetheart you can t .,why not ?
call me later .,okay .
stan and i re okay .,yah .
i m not hungry .,you ve got to eat something agnes .
um libbets casey .,what ?
gotta sneeze .,don t you dare .
yes .,who is this ?
sure .,well what re you going to do ?
why .,why what ?
what ?,i know where it is .
can i have a word with you ?,sure .
that s not an answer is it ?,yes you re a monster .
how is it now ?,seems to be back to normal sir .
why are you looking at me like that ?,like what ? i m not 
what ?,i saw you talking to my mom .
done .,and jimmy s in it right ?
what s that ?,will you marry me ?
i have answers for you .,is she alive ?
your gun .,mind your own business father .
that has nothing to do with it .,you want to sleep in my bed tonight ?
you have to .,i ve never met him ?
alright . thank you .,yep .
nor quincy i guess .,quincy he was always watchin me . scared .
okay ?,all right . . .
where d they go ?,i don t know .
and no one found the ring ?,no sir we did not .
yeah .,ok . wait here .
no .,thank you for being honest .
i heard you .,feel okay ?
who would do that ?,bob .
the witch ?,it s not about witches goddamnit !
no .,so talk to us about something .
i can t tonight .,what s going on ?
really ?,don t talk about it much though .
four plus myers .,how many bodies did you find ?
hey .,oh hello .
you look nice .,thank you .
huh ?,they kept saying they believe in nothing .
nope . nothing .,set up some pieces on the big board ?
yellow pages ?,let your fingers do the walking .
what is this about ?,let me see your identity card .
sit down .,what ?
what the fuck ? ?, i don t know .
about what ?,whether or not i m going .
that s correct .,so you have had sex .
she ll have to know some time .,not from me .
in what man !,john doe .
where are you from originally annie ?,san francisco .
hey can you reach the gas pedal ?,yeah .
ya never tell a guy about a broad .,so you all make the same mistakes ?
what they give you ?,twelve years .
they ve burned through the outer shields .,hurry neo .
 . . .is there ?,how did you know i would be here ?
i m a paleontologist .,a what ?
nothing .,it must be something .
can i say something in my defense ?,no .
good to see you too elaine .,why isn t she with you ?
but surely . . .,i came this far alone . . .
 . . .for christmas . . .,nick ! ! !
you cold ?,freezing .
my van is half full .,so ?
is there a problem ?,no sir .
my what ?,the young lady staying in your room ?
i have twelve big brothers .,not a chance .
i quit .,you quit .
in other words i m fucked .,in so many words yes .
yeah ?,hey mickey .
that s what the kurgan said .,the kurgan was a pussy .
hello ?,it s me . telly .
and they all came . . .,yes .
don t you work here ?,not anymore !
makes me nervous .,why ?
he saw the wire .,how s he supposed to see the wire ?
 every day . ,hot damn clarice .
raise .,see ya and raise three .
always ?,getting late . we better get back .
mornin . . .,you ready to eat ?
he didn t say nothin . just drive .,you have a responsibility to tell me .
it s getting cold .,you think i d really drink that ?
everybody s divorced .,it didn t used to be that way .
 bye johnny . . .,what ?
they took my daughter .,i know .
do you know him ?,oh yes .
like you .,beautiful ?
alan !,where did you hear that name ?
good night dad .,good night kiddo .
gas good ?,yes . very good .
i went into their room this afternoon .,what ?
glad you could put in an appearance .,i got two minutes .
they become complicated . . . messy .,did it ever bother you ?
i have to show you . . .,no !
because it s true .,i don t believe you .
i forget mine for years on end .,oh my god and you are looseleaf harper .
make a list .,we need milk . . . .
you alright ?,yeah i m cool . see you later .
maureen .,maureen ?
yeah .,how long have you known her ?
you re kidding .,he had a mind that escalated things .
kamal is not here .,who is this ? where is kamal ?
it l take months .,so we better get started .
there s more isn t there ?,why mr . hicks whatever do you mean ?
what happened to summer ?,summer s over . it s fall .
yeah ! shh !,that s funny !
please make sure it does not happen again .,of course at once .
us .,of course .
mike ?,what ?
what are you doing ?,don t cross me . . .
and no questions asked .,who asked any ?
i know .,look we gotta talk .
no . i m not .,how ?
so he didn t fire you ?,no way he even gave me back pay .
next you ll be sick .,i feel really good .
about twenty four thousand .,it was more than that last week .
certainly . senator .,why not make them happy ?
darling !,what the fuck is going on ?
remember him ?,he was a bit proud as i recall .
what ? !,harlan .
don t bet on it .,i already have .
general bonaparte ?,come back in an hour .
seven o clock ?,seven o clock .
gosh you look nice ., . . .what . . . ?
a scratch ? your arm s off .,no it isn t .
 . . .yes .,ohhhh 
bill ? have i gone crazy bill ?,you re my girl aren t you ?
who is it ?,i m at the door .
why ?,why what ?
i was worried .,i m sorry . how was your evening ?
no spare .,no .
you wanted to be partners with me ?,sure . it d be fun .
whadda ya mean ?,did you ever fuck my wife ?
what s she got to do with it ?,she s going with me .
okay . then what ?,then we wait .
i ll call them from the road .,do you love me ?
yes .,it did .
see much of him before that ?,once in a while .
it would have been really embarrassing !,how did you know this was my car ?
i i m sorry sam .,you ve got to stop her .
i did .,what d he say ?
i don t need kuato for that .,oh since when ?
what do you mean ?,i mean it s fucking empty .
where to ?,oh harry . . .
where was i ?,you were asleep .
third party ?,he has that sign with the tree .
ten years .,nope . nobody could stand me that long .
okay i guess .,here we are .
what for ?,the piano .
call me .,okay bye .
you did !,that s nothing . i saw him myself .
and ? . . .,i killed them .
is this with a girl named kristen ?,um hm . you got the five hundred ?
is my wife in the air ?,she should be shortly .
how could he be a fake ?,it must be some kind of a gag .
what are you doing ?,are you my friend ?
really ?,really .
the human condition .,you know about it ?
when i m guest of honor ?,i had no idea you were even here .
what is it ?,listen .
tell eve ? you mean mrs . rand ?,yes .
what ?,i don t know . nothing .
yes .,welcome to hard times daddy .
that s an expensive gun .,i got money .
you look tired .,what s your news ?
excellent !,what s good about that ?
can you help us ?,it costs .
easy ! it ll tear right out !,the shaft is giving .
a brothel .,oh !
no !,you want to come on in ?
maybe i m just fucking curious .,you say fuck a lot .
sorry ., s okay . what do you think ?
who is the best .,nope .
is it all right ?,yes .
you ve got to let us try skipper , us ? 
he used to know me .,sorry alan it s been six years .
mom i mean dad . . .,uh huh . . .
okay . you come by the house ?,i ll come by .
goodbye goodbye goodbye .,just one favor .
adam where are you ?,what s going on cynthia ?
i don t get you king .,i said that s the point !
dad ?,yes .
oh my god !,what do i do ?
knock what off ?,you don t have to pee .
no sir .,where are you from boy ?
is this yours ? your pen ?,yeah that s my pen . why ?
your son what did you name him ?,robert . robert e . lee .
you wanna split ?,yeah i don t feel so well .
i plan to grow on you .,you re off to a late start .
i think i need a little air .,what s wrong ?
oh it is .,it better be worth it for me .
rye .,just coffee .
shall we be all right ?,yes . absolutely .
get on the rocks !,swim for it !
yeah it still runs .,do me a favor buddy please .
am i entertaining you ?,we re friends .
how about the point ?,the point sounds fine .
i think we better go home .,don t panic anthony .
checking out your place .,no . wait for the police .
it s over sir the storm has cleared .,the ships ?
what ? you sure ?,that s what it says .
this time it s for real ?,oh yeah . for real point five .
several .,good .
what s with all the whoo whoo noises ?,everything s fine pop .
look i m just guessing . . .,well go on .
do you understand neo ?,i think i do .
what do you mean ? ?,well the other night at dinner . . .
where in mexico would you like ,i don t care just get me there .
where does he think he s going ?,when you gotta go you gotta go .
i need you to do me a favor .,god you look like crap george .
yes .,how did you ever remember me ?
is it the one you wanted ?,oh mr . treves . mr . treves .
what about her ?,get something going there .
louis you re a life saver .,i know .
it s not like that luv .,it never is .
that was in jest .,jest with me then .
they gotta go .,how many ?
in jerry s safety deposit box .,i don t understand .
let s walk .,who are they ?
miss harrington . . .,what are you doing here ?
who is it raped you ?,nobody .
really ?,you re going to blow everyone away .
 . . .where is everything ?,in the trunk .
i ll take it into consideration .,what i do requires confidentiality .
will we be in this war ?,no . this war is almost over .
you all right ?,yeah fine .
how can you be certain ?,i know how he thinks .
is he married ?,no .
i been in the penitentiary for four years .,excuse me for asking .
ours is not to reason why .,huh ?
yes .,how ?
i haven t slept in weeks .,why don t you try counting sheep ?
yes .,you re trembling .
mr . webster you will help him ?,i ll do my best mary .
he s not telling the truth .,he may be .
what s in your head boy ?,she . goes . free .
well sir i was just . . .,why is she eight pounds over ?
oh ! who cares ? we re home !,mum ! dad !
elle ?,where s the rock ?
has harry spoken with jerry ?,not that i know of . why ?
what is it ? what s there ?,it s still there !
 . . .they say you re alright .,i m fine .
this isn t working out for me anymore .,yeah me neither .
that s ridiculous .,and you ve got cold feet .
okay .,come on . inside .
anyone else not coming ?,right behind you .
john thinks i m so snotty .,you are .
yeah .,ida sessions wants to see you .
how much ?,it s not really 
what is your name ?,my name is sir robin of camelot !
why ? do you know him ?,oh no no .
you can have this for ten cents .,i don t wanta rob you ma am .
you were his what his box ?,his assistant .
who else were you expecting ?,let go !
where s the car ?,outside in the visitors car park .
to see ?,if she . . .
when d you see him last ?,today over at the house .
he s taking a nap .,he must be tired this bontecou thing 
you re lying about one thing lester .,what s that ?
of course .,do you love her ?
today is bath day .,sorry ?
the image there .,are you sure it s not the tape ?
i ordered lunch .,you ordered it here ?
fucking women man . . .,i know . . .
you weren t in here tonight were you ?,no sir .
male .,waiter busboy maitre de 
miss dawson on the phone sir .,who ? miss dawson ?
well there s a problem .,what problem ?
is what true ?,he wears a disguise .
hey there you are .,yep .
you and mom have a lawyer ?,well yes . he s your lawyer too .
um mother daughter .,pony and i are friends .
hi it s me . . .,fuck you .
she hates dem .,too bad . how bout a dress ?
i need a ride .,i m your man .
i want to talk to jimmy .,he heard .
inch by inch . . . .,how s ellen ?
the plane is fine .,is it you ?
you cannot hide forever luke .,i will not fight you .
how d you know i was here ?,here s another tip . . .
i need it now i need some,young blood
may i please have another little kiss ?,walter ! jeez !
aye the big hammer smashing !,thank you .
good lord !,i can t keep it to myself anymore 
do you believe it ?,should i ?
was there never ambition ?,maybe once .
i m not .,what if you re wrong ? ?
what s happening ? what do you want ?,so very much .
i want to see my wife and kid .,later . i want doucet first .
i can t believe you did that ! !,why ?
ow !,what s wrong ?
mind if i ride along with you ?,this has nothing to do with your fire .
what s your friend s name ?,jack .
i don t know .,that s not a helpful answer .
i ll take a raincheck laurie .,please .
yeah .,pop leibel .
are you close ?,she s my mother .
what ? ! !,i gotta go back .
red label .,right . sorry .
i was trying to score some dope .,cut the shit flynne .
are you crazy ? what are you doing ?,i m trying to help you .
do you ?,all i need is time .
good evening sir .,good evening .
how much ?,with all my heart .
i can t really remember .,you can t remember .
he hates me .,no 
all the time .,can you tell me about it ?
you shouldn t hang around this neighborhood .,i . . . i was just leaving .
tell me what boy ?,nothin !
i thought i d help out .,we don t need you .
well whatta we got here ?,a lucas jackson .
automatic .,you got it .
oh god !,hang on !
liar !,or perchance . . .
what ?,it s your play .
he flies as well then . . .,constantly .
i m disgusting .,no .
my advice to you ? don t die .,feeling the pressure ?
what are you doing here ?,what . . . ?
oh .,i came for the wedding .
all too well captain .,well shut it off at once !
i m driving .,dude . that s my sister .
i bet you have a great family .,you know nothing special .
that .,you ?
now what ?,now what what ?
god isn t he great ?,no this is great .
what ?,trust him .
you do ?,i m blind because my father drank .
i don t like no witnesses .,we won t breathe a word .
forgot what ?,it s mama s saint s day .
what kind of movies do they show there ?,gay movies .
i came to see you .,i can see that . why ?
nothing .,you got any weed ?
what ?,what d they ever do for you ?
but it s a top three school ,i have a . .
she s gettin prettier ma .,girl with a baby always gets prettier .
hello .,wow !
 you know when we found your guy and,
yeah ?,give this to joey will you ?
did you work with him keith ?,at the half moon .
alright .,alright . meet me at the met .
yeah they hate me .,you want to talk about this ?
don t be greedy . stay with wood .,i want him !
then shoot him already .,duck !
call me as soon as you re settled .,i love you .
i d like to do your hair sometime .,why ?
they re no friends of mine .,except you re willing commit murder with them .
yeah why ?,and you didn t tell anyone ?
yes .,do you think i m pretty ?
did you meet the president ?,honey your father knows the president .
is he sincere about wanting peace ?,i don t know .
kill him !,no !
oh ?,this used to be my secretary s room .
he s shy not like enzo .,yes . not like enzo .
so it s not a winning record .,it s not losing record .
yeah .,you re going sailing .
how come you wanted to meet tonight ?,i wanted to get to know you better .
me neither .,who d you ask ?
i will . i ll miss you grandma .,i ll miss you . . . .
how ?,i dunno . might be a glitch .
read her thoughts .,i can t .
oh yeah sure . . . okay .,santos . . . it isn t .
but faith ,please larry . i have to hurry .
allo ?,diego ? it s george .
would you like to talk about it ?,no .
what are you doing ?,this little table is one heavy bitch .
c mon man . . .,i swear to god i ll fucking puke .
i m thinking someone got away with murder .,how ?
we got a helluva tide this month .,could you just keep that crowd back please ?
don t know what s behind it .,one way to find out .
he s having a heart attack or something .,let s go !
can you really tell from doing that ?,what do you think ?
i hate to say i told you so .,save it . we got a long haul .
oh do yuh ?,yes .
what a filthy job !,could be worse !
hey . . . you okay ?,sure .
she is .,i went to school with her husband .
for killing a man .,what miracles you do for strangers .
uh huh .,her life is in your hands .
see you tomorrow maybe .,you okay ?
it s too rough .,since when ?
what s the matter ?,don t you know ?
i don t believe he did it .,why don t you ?
i didn t see nothin .,okay . go on .
come on .,i ll see you there .
you got plenty of money ?,sure boss .
she s really pretty great isn t she ?,yeah she is . good luck .
i m still listening .,jerry is dangerous . jerry has killed 
hi honey ! feeling better ?,no .
another contractor .,someone hired both of you ?
do you love me ?,do you love me ?
we ve got rope ?,for climbing .
sentimental fellow aren t you ?,yes and no .
yes it ll be a very interesting experiment .,to make a gentleman out of a tramp ?
i don t know , you re a nurse aren t you ?
come on sweetheart . . .,yo yo yo . . .
okay friend . you re on .,call it .
oh sure .,great . hi . i m erica .
what ?,i m dizzy and thirsty .
the apple core club .,the apple core ?
who ?,me !
what are you doing ?,cutting it out .
and you got some italians ?,six or seven . . .
yeah i did .,it s yours ?
